Metodo
licitacoes
contratos
atas
ordemcompras
materiais_entradas
materiais_saidas
bens_consolidado
bens_moveis
bens_imoveis
frota_veiculos
orcamento_receitas
execucao_receitas
orcamento_despesas
empenhos
liquidacoes
pagamentos
transf_extraorcamentarias
transf_intraorcamentarias
servidores
plano_carreiras
cargos_confianca
